Model,Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Specificity,Sensitivity
TruthLens Layer 1,Logistic Regression + TF-IDF,0.9852538170429336,0.9806375442739079,0.9925908221797323,0.9865779783822307,0.9985399971530906,0.9764300086231675,0.9925908221797323
SVM Baseline,Linear SVM + TF-IDF,0.9908651963982774,0.9881347887992407,0.9952198852772467,0.9916646820671589,,0.9856280540385168,0.9952198852772467
Naive Bayes Baseline,Multinomial Naive Bayes + TF-IDF,0.9484536082474226,0.9334248455730954,0.9751434034416826,0.9538281706604325,0.9865965803012559,0.9163552745041679,0.9751434034416826
